Variable,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
Frequency of SSIDs \#8389,0.276,0.193,0.197,0.149,0.171,0.136,0.126,0.047,0.044,0.016,-0.01,0.003,0.003,-0.008,-0.001,-0.002,-0.001
Outgoing Call Dur. \#1415,0.489,0.412,-0.097,-0.079,-0.081,0.043,0.052,0.048,0.022,0.01,0.018,0.003,0.002,0.004,-0.002,-0.002,0.002
Outgoing Call Dur. \#9846,0.512,0.438,-0.118,-0.108,-0.118,0.056,0.027,0.029,0.017,-0.013,-0.023,-0.008,-0.006,-0.009,0.001,0.001,-0.001
Customization APP Dur.,-0.136,-0.173,-0.236,-0.196,-0.203,-0.162,-0.075,0.018,0.019,0.008,-0.01,0.002,-0.001,0.007,-0.003,0.001,0.004
Incoming SMS Freq. \#2936,0.341,0.248,0.147,-0.138,-0.138,0.084,0.051,0.022,0.023,0.009,-0.019,-0.009,-0.008,-0.016,0.001,0.003,0.003
Prop. of unknown,-0.023,-0.061,-0.062,-0.045,-0.054,-0.037,0.042,0.041,0.014,0.003,-0.008,-0.003,0.006,0.002,-0.001,-0.002,-0.003
Prop. of tilting,-0.037,-0.052,-0.051,-0.061,-0.078,0.056,0.133,-0.065,0.016,0.002,-0.014,-0.002,-0.009,0.009,-0.005,-0.001,-0.002
Medical APP Dur.,-0.072,-0.091,-0.091,-0.094,-0.103,-0.089,-0.014,-0.016,-0.018,-0.017,0.012,-0.01,-0.011,-0.014,0.006,0.006,-0.001
Parenting APP Dur.,-0.045,-0.071,-0.074,-0.082,-0.092,-0.061,0.008,-0.022,-0.022,0.021,0.006,0.001,-0.003,0.002,-0.003,-0.003,0.004
Prop. of lying down,0.132,0.298,-0.312,0.283,-0.321,-0.185,-0.032,0.055,-0.045,0.059,-0.038,0.037,-0.013,-0.003,-0.015,0.035,0.003
Prop. of going upstairs,0.065,0.123,0.145,-0.112,0.215,0.347,0.041,-0.031,-0.036,-0.023,-0.005,-0.005,0.022,-0.015,0.035,-0.002,-0.205
Prop. of going downstairs,-0.089,-0.168,-0.223,0.078,-0.084,-0.215,0.055,-0.024,-0.027,-0.025,0.023,0.002,0.025,-0.012,0.003,-0.015,-0.002
Prop. of studying,-0.213,-0.478,0.654,0.391,0.456,0.632,-0.204,-0.407,0.609,-0.107,-0.205,-0.008,-0.054,-0.052,-0.004,-0.004,-0.006
